yyyy,mm,tmax,tmin,af,rain,sun,station_name,longitude,latitude,amsl
1959,1,4.5,-1.9,20,---,57.2,cwmystwyth,-3.802,52.358,301
1959,2,7.3,0.9,15,---,87.2,cwmystwyth,-3.802,52.358,301
1959,3,8.4,3.1,3,---,81.6,cwmystwyth,-3.802,52.358,301
1959,4,10.8,3.7,1,---,107.4,cwmystwyth,-3.802,52.358,301
1959,5,15.8,5.8,1,---,213.5,cwmystwyth,-3.802,52.358,301
1959,6,16.9,8.2,0,---,209.4,cwmystwyth,-3.802,52.358,301
1959,7,18.5,9.5,0,---,167.8,cwmystwyth,-3.802,52.358,301
1959,8,19.0,10.5,0,---,164.8,cwmystwyth,-3.802,52.358,301
1959,9,18.3,5.9,0,---,196.5,cwmystwyth,-3.802,52.358,301
1959,10,14.8,7.9,1,---,101.1,cwmystwyth,-3.802,52.358,301
1959,11,8.8,3.9,3,---,38.9,cwmystwyth,-3.802,52.358,301
1959,12,7.2,2.5,3,---,19.2,cwmystwyth,-3.802,52.358,301
1960,1,6.3,0.6,15,---,30.7,cwmystwyth,-3.802,52.358,301
1960,2,5.3,-0.3,17,---,50.2,cwmystwyth,-3.802,52.358,301
1960,3,8.2,2.4,4,---,73.9,cwmystwyth,-3.802,52.358,301
1960,4,11.2,2.6,7,---,146.8,cwmystwyth,-3.802,52.358,301
1960,5,15.4,6.5,2,---,153.9,cwmystwyth,-3.802,52.358,301
1960,6,18.5,8.2,0,---,225.6,cwmystwyth,-3.802,52.358,301
1960,7,16.0,9.3,0,---,111.3,cwmystwyth,-3.802,52.358,301
1960,8,16.5,9.4,0,---,119.2,cwmystwyth,-3.802,52.358,301
1960,9,15.0,7.9,0,---,120.3,cwmystwyth,-3.802,52.358,301
1960,10,12.0,5.3,5,---,---,cwmystwyth,-3.802,52.358,301
1960,11,8.8,2.9,5,---,37.3,cwmystwyth,-3.802,52.358,301
1960,12,5.9,0.4,13,---,33.9,cwmystwyth,-3.802,52.358,301
1961,1,5.4,0.2,11,144.8,31.0,cwmystwyth,-3.802,52.358,301
