yyyy,mm,tmax,tmin,af,rain,sun,station_name,longitude,latitude,amsl
1914,1,5.9,0.9,---,48.3,---,wick_airport,-3.088,58.454,36
1914,2,7.7,2.3,---,66.0,---,wick_airport,-3.088,58.454,36
1914,3,6.4,1.1,---,76.7,---,wick_airport,-3.088,58.454,36
1914,4,10.8,4.4,---,27.9,---,wick_airport,-3.088,58.454,36
1914,5,10.7,4.4,---,61.0,---,wick_airport,-3.088,58.454,36
1914,6,13.5,7.6,---,21.1,---,wick_airport,-3.088,58.454,36
1914,7,14.4,10.2,---,91.9,---,wick_airport,-3.088,58.454,36
1914,8,15.2,10.2,---,40.6,---,wick_airport,-3.088,58.454,36
1914,9,13.4,7.9,---,58.9,---,wick_airport,-3.088,58.454,36
1914,10,11.8,6.1,---,48.8,---,wick_airport,-3.088,58.454,36
1914,11,8.8,3.0,---,105.2,---,wick_airport,-3.088,58.454,36
1914,12,5.7,0.5,---,84.1,---,wick_airport,-3.088,58.454,36
1915,1,5.6,1.3,---,58.4,---,wick_airport,-3.088,58.454,36
1915,2,5.5,0.9,---,63.5,---,wick_airport,-3.088,58.454,36
1915,3,6.7,1.0,---,50.8,---,wick_airport,-3.088,58.454,36
1915,4,8.7,2.4,---,58.4,---,wick_airport,-3.088,58.454,36
1915,5,9.4,3.6,---,12.7,---,wick_airport,-3.088,58.454,36
1915,6,12.6,6.8,---,22.9,---,wick_airport,-3.088,58.454,36
1915,7,14.3,8.9,---,63.5,---,wick_airport,-3.088,58.454,36
1915,8,14.6,10.3,---,22.9,---,wick_airport,-3.088,58.454,36
1915,9,13.2,8.7,---,86.4,---,wick_airport,-3.088,58.454,36
1915,10,10.9,5.2,---,27.9,---,wick_airport,-3.088,58.454,36
1915,11,6.3,1.2,---,96.5,---,wick_airport,-3.088,58.454,36
1915,12,5.4,0.2,---,111.8,---,wick_airport,-3.088,58.454,36
1916,1,7.7,2.8,---,76.2,---,wick_airport,-3.088,58.454,36
1916,2,5.3,1.0,---,33.0,---,wick_airport,-3.088,58.454,36
1916,3,4.7,0.6,---,53.3,---,wick_airport,-3.088,58.454,36
1916,4,8.7,3.0,---,43.2,---,wick_airport,-3.088,58.454,36
1916,5,9.7,5.1,---,78.7,---,wick_airport,-3.088,58.454,36
1916,6,11.0,7.3,---,86.4,---,wick_airport,-3.088,58.454,36
1916,7,13.8,9.6,---,33.0,---,wick_airport,-3.088,58.454,36
1916,8,13.5,8.8,---,30.5,---,wick_airport,-3.088,58.454,36
1916,9,13.4,8.1,---,33.0,---,wick_airport,-3.088,58.454,36
1916,10,11.1,5.4,---,94.0,---,wick_airport,-3.088,58.454,36
1916,11,9.0,4.3,---,66.0,---,wick_airport,-3.088,58.454,36
1916,12,6.3,1.0,---,86.4,---,wick_airport,-3.088,58.454,36
1917,1,4.6,0.8,---,94.0,---,wick_airport,-3.088,58.454,36
1917,2,5.3,0.4,---,17.8,---,wick_airport,-3.088,58.454,36
1917,3,5.4,0.2,---,53.3,---,wick_airport,-3.088,58.454,36
1917,4,6.8,0.0,---,58.4,---,wick_airport,-3.088,58.454,36
1917,5,10.1,4.7,---,20.3,---,wick_airport,-3.088,58.454,36
1917,6,13.4,7.5,---,78.7,---,wick_airport,-3.088,58.454,36
1917,7,14.4,9.5,---,35.6,---,wick_airport,-3.088,58.454,36
1917,8,14.9,10.7,---,63.5,---,wick_airport,-3.088,58.454,36
1917,9,14.3,8.3,---,81.3,---,wick_airport,-3.088,58.454,36
1917,10,9.2,3.1,---,127.0,---,wick_airport,-3.088,58.454,36
1917,11,9.0,3.6,---,124.5,---,wick_airport,-3.088,58.454,36
1917,12,5.5,1.1,---,40.6,---,wick_airport,-3.088,58.454,36
1918,1,4.3,-1.8,---,48.3,---,wick_airport,-3.088,58.454,36
1918,2,7.2,2.8,---,58.4,---,wick_airport,-3.088,58.454,36
1918,3,7.3,1.8,---,35.6,---,wick_airport,-3.088,58.454,36
1918,4,7.4,2.4,---,30.5,---,wick_airport,-3.088,58.454,36
1918,5,11.7,6.9,---,35.6,---,wick_airport,-3.088,58.454,36
1918,6,13.0,6.2,---,40.6,---,wick_airport,-3.088,58.454,36
1918,7,13.6,9.7,---,139.7,---,wick_airport,-3.088,58.454,36
1918,8,15.0,10.3,---,127.0,---,wick_airport,-3.088,58.454,36
1918,9,11.5,5.3,---,101.6,---,wick_airport,-3.088,58.454,36
1918,10,10.8,5.6,---,48.3,---,wick_airport,-3.088,58.454,36
1918,11,8.5,3.1,---,53.3,---,wick_airport,-3.088,58.454,36
1918,12,6.9,2.7,---,96.5,---,wick_airport,-3.088,58.454,36
1919,1,5.8,2.4,---,81.3,---,wick_airport,-3.088,58.454,36
1919,2,4.3,-1.1,---,38.1,---,wick_airport,-3.088,58.454,36
1919,3,4.9,-0.4,---,86.4,---,wick_airport,-3.088,58.454,36
1919,4,9.2,2.7,---,50.8,---,wick_airport,-3.088,58.454,36
1919,5,10.8,6.3,---,15.2,---,wick_airport,-3.088,58.454,36
1919,6,13.5,7.7,---,73.7,---,wick_airport,-3.088,58.454,36
1919,7,13.7,8.3,---,20.3,---,wick_airport,-3.088,58.454,36
1919,8,14.7,8.8,---,86.4,---,wick_airport,-3.088,58.454,36
1919,9,13.3,6.7,---,96.5,---,wick_airport,-3.088,58.454,36
1919,10,10.2,4.7,---,71.1,---,wick_airport,-3.088,58.454,36
1919,11,5.7,0.2,---,124.5,---,wick_airport,-3.088,58.454,36
1919,12,5.7,0.5,---,124.5,---,wick_airport,-3.088,58.454,36
1920,1,5.8,0.2,---,83.8,---,wick_airport,-3.088,58.454,36
1920,2,7.4,1.7,---,60.2,---,wick_airport,-3.088,58.454,36
1920,3,7.7,1.9,---,80.5,---,wick_airport,-3.088,58.454,36
1920,4,7.8,2.9,---,50.8,---,wick_airport,-3.088,58.454,36
1920,5,10.9,5.1,---,72.6,---,wick_airport,-3.088,58.454,36
1920,6,12.6,7.9,---,19.8,---,wick_airport,-3.088,58.454,36
1920,7,14.8,8.6,---,48.0,---,wick_airport,-3.088,58.454,36
1920,8,14.0,8.4,---,24.1,---,wick_airport,-3.088,58.454,36
1920,9,13.3,7.1,---,62.0,---,wick_airport,-3.088,58.454,36
1920,10,11.8,8.6,---,15.7,---,wick_airport,-3.088,58.454,36
1920,11,9.9,5.0,---,84.6,---,wick_airport,-3.088,58.454,36
1920,12,7.0,2.3,---,60.7,---,wick_airport,-3.088,58.454,36
1921,1,7.2,1.7,---,71.6,---,wick_airport,-3.088,58.454,36
1921,2,7.9,3.1,---,28.7,---,wick_airport,-3.088,58.454,36
1921,3,7.9,1.6,---,40.9,---,wick_airport,-3.088,58.454,36
1921,4,9.6,3.7,---,25.9,---,wick_airport,-3.088,58.454,36
1921,5,11.9,5.1,---,43.2,---,wick_airport,-3.088,58.454,36
1921,6,13.2,7.3,---,28.4,---,wick_airport,-3.088,58.454,36
1921,7,14.9,9.3,---,61.5,---,wick_airport,-3.088,58.454,36
1921,8,14.1,8.6,---,47.2,---,wick_airport,-3.088,58.454,36
1921,9,13.7,8.5,---,80.8,---,wick_airport,-3.088,58.454,36
1921,10,12.2,7.4,---,58.7,---,wick_airport,-3.088,58.454,36
1921,11,7.1,3.4,---,49.5,---,wick_airport,-3.088,58.454,36
1921,12,7.2,3.3,---,105.2,---,wick_airport,-3.088,58.454,36
1922,1,4.9,1.9,---,83.1,---,wick_airport,-3.088,58.454,36
1922,2,5.8,1.7,---,45.7,---,wick_airport,-3.088,58.454,36
